id,title,artist_title,classification_titles
161,Skyphos (Drinking Cup),Ancient Greek,drinking vessel;ceramics;vessel;ancient art
22,"Villa Pamphili outside Porta S. Pancrazio, from Views of Rome",Giovanni Battista Piranesi,etching;print;prints and drawing
9637,View of an Italian Villa and Gardens (the Belvedere of the Vatican),Jean Jacques de Boissieu,ink or chalk wash;drawings (visual works);prints and drawing
7988,Claude Monet,Albert André,oil on canvas;portrait;european painting;painting;modern and contemporary art
12216,Cupid and Psyche: Design for a Ceiling,François Boucher,ink or chalk wash;drawings (visual works);prints and drawing
15857,Cabaret Scene,André Lhote,pen and ink drawings;drawings (visual works);prints and drawing
15854,Seated Female Nude,André Lhote,graphite;drawings (visual works);prints and drawing
14245,Three Types of Chrysanthemums,Kitao Shigemasa,woodblock print;print;asian art
16568,Water Lilies,Claude Monet,oil on canvas;paint;oil paintings (visual works);french;european painting;painting;modern and contemporary art
21843,"Plants, Porcelain Bowl, and Glass Goblet",Katsukawa Shunsho,woodblock print;print;asian art
20545,"Rocks at Port-Goulphar, Belle-Île",Claude Monet,painting;paint;oil paintings (visual works);oil on canvas;french;european painting
24202,La Java,Georges Emile Capon,painting;modern and contemporary art
23098,"Still Life, Clown",Pavel Tchelitchew,painting;modern and contemporary art
22191,Claudine Resting,Jules Pascin,painting;modern and contemporary art
24880,Flowers and spring greens in a hat,Katsushika Hokusai,woodblock print;print;asian art
24851,Inwood Park,June Leaf,lithograph;print;prints and drawing
25105,"Cotton Roses and Sparrow, from an untitled series of Large Flowers",Katsushika Hokusai,woodblock print;print;asian art
25102,"Lilies, from an untitled series of Large Flowers",Katsushika Hokusai,woodblock print;print;asian art
25099,"Morning Glories and Tree-frog, from an untitled series of Large Flowers",Katsushika Hokusai,woodblock print;print;asian art
25108,"Poppies, from an untitled series of flowers",Katsushika Hokusai,woodblock print;print;asian art
25110,"Chrysanthemums and Bee, from an untitled series of Large Flowers",Katsushika Hokusai,woodblock print;print;asian art
25117,"Hydrangea and Swallow, from an untitled series of large flowers",Katsushika Hokusai,woodblock print;print;asian art
25115,"Orange Orchids, from an untitled series of flowers",Katsushika Hokusai,woodblock print;print;asian art
25113,"Peonies and Butterfly, from an untitled series of large flowers",Katsushika Hokusai,woodblock print;print;asian art
26607,"Precincts of Kameido Tenjin Shrine (Kameido Tenjin keidai), from the series ""One Hundred Famous Views of Edo (Meisho Edo hyakkei)""",Utagawa Hiroshige,woodblock print;print;asian art
26561,"View from Massaki of Suijin Shrine, Uchigawa Inlet, and Sekiya (Massaki hen yori Suijin no mori Uchigawa Sekiya no sato o miru zu), from the series ""One Hundred Famous Views of Edo (Meisho Edo hyakkei)""",Utagawa Hiroshige,woodblock print;print;asian art
25129,"Bell-Flower and Dragonfly, from an untitled series of large flowers",Katsushika Hokusai,woodblock print;print;asian art
27949,Madame Roulin Rocking the Cradle (La berceuse),Vincent van Gogh,oil on canvas;dutch;france;oil paintings (visual works);paint;portrait;painting;european painting
27839,The Shower Bath,George Wesley Bellows,lithograph;print;prints and drawing
26720,View of the Grotta di Palazzo with Banquet,Louis Jean Desprez,watercolor;drawings (visual works);prints and drawing
28277,Saint Eustace,Albrecht Dürer,engraving;print;prints and drawing;paper
28560,The Bedroom,Vincent van Gogh,oil on canvas;dutch;oil paintings (visual works);paint;painting;european painting
28283,Saint Jerome Penitent in the Wilderness,Albrecht Dürer,engraving;print;prints and drawing;paper
30368,Colonnade and Gardens of the Medici Palace,Style of Hubert Robert,painting;french;oil on panel;paint;european painting
36343,Exploratory Studies,June Leaf,watercolor;drawings (visual works);prints and drawing
34231,"The Plum Orchard at Kamata (Kamata no umezono), from the series ""One Hundred Famous Views of Edo (Meisho Edo hyakkei)""",Utagawa Hiroshige,woodblock print;print;asian art
32276,"Iris and Grasshopper, from an untitled series of large flowers",Katsushika Hokusai,woodblock print;print;asian art
39541,Saint Jerome in Penitence,Lucas Cranach the Elder,woodcut;print;prints and drawing
