title,creation_date,url,images,creators
Fishmarket,1902,https://clevelandart.org/art/2020.113,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2020.113/2020.113_web.jpg', 'width': '900', 'height': '721', 'filesize': '432817', 'filename': '2020.113_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2020.113/2020.113_print.jpg', 'width': '3400', 'height': '2725', 'filesize': '5050477', 'filename': '2020.113_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2020.113/2020.113_full.tif', 'width': '12504', 'height': '10020', 'filesize': '375900488', 'filename': '2020.113_full.tif'}}","[{'id': 1836, 'description': 'Camille Pissarro (French, 1830–1903)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': 'Camille Pissarro\'s parents ran a general merchandise business on St. Thomas. After attending boarding school in Paris, Pissarro returned to the West Indies to work for his father from 1847 until 1852. As an artist he was largely self-taught, receiving some instruction from Fritz Melbye (1826-1896), a Danish artist with whom he traveled to Venezuela in 1852. When Pissarro returned to Paris in 1855, he shared a studio with Anton Melbye (1818-1875), Fritz\'s brother, and with David Jacobsen (1821-1871). He took classes at the École des Beaux-Arts in 1856 and three years later attended the Académie Suisse, where he befriended artists such as Cézanne (q.v.), Monet (q.v.), and Guillaumin (q.v.). Corot (q.v.) encouraged him to paint landscapes around Paris, and he was listed as Corot\'s pupil in the catalogues of the Salons of 1864 and 1865. He had met Julie Vellay in 1860, with whom he would have eight children; they married in 1871. Pissarro exhibited regularly at the Salons from 1859 to 1870, although his work received little attention and he sold hardly anything. In 1866 he settled in Pontoise, often returning to Paris where he kept a studio. He frequented Émile Zola\'s ""Thursdays"" (weekly literary gatherings) and associated with Manet\'s (q.v.) artistic circle that gathered in the Café Guerbois. During the Franco-Prussian War (1870-71) Pissarro fled with his family, first to Montfoucault and then to London, where he worked with Monet and Daubigny (q.v.) and was introduced to the dealer Durand-Ruel. In 1872 he returned to Pontoise, where he painted with Cézanne. Around 1869 Pissarro began painting in a purely impressionist style, and in 1874 he helped organize the first impressionist exhibition. He moved to Éragny-sur-Epte in 1884, where he came into contact with Seurat (q.v.) and Paul Signac (1863-1935) and subsequently began to work in a pointillist style. He eventually found this technique too limiting, and returned to an impressionist mode, often working in series. By the end of his career his landscapes and depictions of city life sold well, and in 1892 he was given a retrospective exhibition at Durand-Ruel. By now, the artist had developed strongly anarchist convictions. Pissarro not only painted and made drawings, he also experimented with etching and lithography.', 'name_in_original_language': None, 'birth_year': '1830', 'death_year': '1903'}]"
A Miller's Carriage,c. 1895,https://clevelandart.org/art/2015.449,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2015.449/2015.449_web.jpg', 'width': '900', 'height': '596', 'filesize': '242505', 'filename': '2015.449_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2015.449/2015.449_print.jpg', 'width': '3400', 'height': '2250', 'filesize': '3525079', 'filename': '2015.449_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2015.449/2015.449_full.tif', 'width': '7449', 'height': '4929', 'filesize': '110178788', 'filename': '2015.449_full.tif'}}","[{'id': 53727, 'description': 'Albert-Charles Lebourg (French, 1849–1928)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': None, 'name_in_original_language': None, 'birth_year': '1849', 'death_year': '1928'}]"
Leda and the Swan,c. 1846–83,https://clevelandart.org/art/2015.451,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2015.451/2015.451_web.jpg', 'width': '900', 'height': '647', 'filesize': '223864', 'filename': '2015.451_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2015.451/2015.451_print.jpg', 'width': '3400', 'height': '2445', 'filesize': '2859968', 'filename': '2015.451_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2015.451/2015.451_full.tif', 'width': '7238', 'height': '5205', 'filesize': '113052792', 'filename': '2015.451_full.tif'}}","[{'id': 53730, 'description': 'Adolphe Yvon (French, 1817–1893)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': 'student of Paul Delaroche', 'name_in_original_language': None, 'birth_year': '1817', 'death_year': '1893'}]"
The Monks,c. 1802–30,https://clevelandart.org/art/2018.1059,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2018.1059/2018.1059_web.jpg', 'width': '627', 'height': '900', 'filesize': '285225', 'filename': '2018.1059_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2018.1059/2018.1059_print.jpg', 'width': '2367', 'height': '3400', 'filesize': '2832304', 'filename': '2018.1059_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2018.1059/2018.1059_full.tif', 'width': '4337', 'height': '6231', 'filesize': '81103276', 'filename': '2018.1059_full.tif'}}","[{'id': 1703, 'description': 'François Marius Granet (French, 1775–1849)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': 'Son of a master mason, Granet received early artistic training from J.-A. Constantin (1756-1844) at the free drawing academy in Aix. A fellow pupil was the highborn Auguste de Forbin (1777-1841), who became his most important friend and patron. In 1793 Granet participated in the siege of Toulon, where he met Bonaparte and worked as a draftsman with the artillery battery. Three years later he made his first visit to Paris, where he admired and copied Dutch and Flemish paintings in the Louvre. In 1798 Granet returned to Paris to join Forbin in the atelier of David (q.v.), but he had to leave after a few months from lack of funds. The next year, however, he showed at the Salon; his successful Little Cloister of the Feuillants (untraced), a Parisian monastery interior, announced the dominant theme of his subsequent work, which owed more to his study of seventeenth-century northern masters than it did to the brief stay in David\'s studio. In 1802 Granet and Forbin went to Rome, where Granet remained generally for the next twenty-two years, making a living during the first years by selling views of ancient monuments. His internationally acclaimed Choir of the Capuchin Church in Rome (possibly the work dated 1815 in the Metropolitan Museum of Art, New York), of which the Cleveland painting is a late variant, sealed the artist\'s success. In 1819 Granet was named knight of the Legion of Honor and in 1822 knight of the Order of St. Michael. His precisely painted pictures appealed through their dramatic chiaroscuro and masterful articulation of architectural forms. In the Italian and French countryside Granet also created many fluid oil and watercolor landscape sketches, whose simplified forms and subtle light effects prefigured the art of Corot (q.v.). By the end of the 1830s the vogue for Granet\'s quietly religious paintings waned. In the meantime he had begun an important career as a museum official. Having left Rome in 1824 to accept a position offered by Forbin, Granet became chief curator at the Louvre in 1826 and then curator of Louis-Philippe\'s new Musée Historique de Versailles in 1833. He was also named, in 1844, honorary director of the museum in his hometown of Aix. His long-time friend Forbin died in 1841, and in 1843 Granet married the recently widowed Marie-Madeleine Appoloni (""Nena""), whom he had known since the early days in Rome. Upon her death in 1847 Granet went to his country residence in Aix, where he remained after the revolution of 1848. The next year\'s bequeathal of studio and collection to the Aix museum constitutes a rare example of the preservation of an artists\'s atelier at the time.', 'name_in_original_language': None, 'birth_year': '1775', 'death_year': '1849'}]"
Study Sheet,c. 1870–80,https://clevelandart.org/art/2018.1060,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2018.1060/2018.1060_web.jpg', 'width': '900', 'height': '764', 'filesize': '274284', 'filename': '2018.1060_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2018.1060/2018.1060_print.jpg', 'width': '3400', 'height': '2885', 'filesize': '2657232', 'filename': '2018.1060_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2018.1060/2018.1060_full.tif', 'width': '5700', 'height': '4837', 'filesize': '82744940', 'filename': '2018.1060_full.tif'}}","[{'id': 53773, 'description': 'Alfred Dehodencq (French, 1822–1882)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': None, 'name_in_original_language': None, 'birth_year': '1822', 'death_year': '1882'}]"
Un Borreau (An Executioner),c. 1848,https://clevelandart.org/art/2015.447,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2015.447/2015.447_web.jpg', 'width': '680', 'height': '900', 'filesize': '214462', 'filename': '2015.447_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2015.447/2015.447_print.jpg', 'width': '2568', 'height': '3400', 'filesize': '2846330', 'filename': '2015.447_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2015.447/2015.447_full.tif', 'width': '5201', 'height': '6887', 'filesize': '107488836', 'filename': '2015.447_full.tif'}}","[{'id': 13913, 'description': 'Auguste Raffet (French, 1804–1860)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': None, 'name_in_original_language': None, 'birth_year': '1804', 'death_year': '1860'}]"
Profile Portrait of a Man,18th century,https://clevelandart.org/art/2018.41,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2018.41/2018.41_web.jpg', 'width': '784', 'height': '900', 'filesize': '187225', 'filename': '2018.41_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2018.41/2018.41_print.jpg', 'width': '2962', 'height': '3400', 'filesize': '2270224', 'filename': '2018.41_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2018.41/2018.41_full.tif', 'width': '5184', 'height': '5950', 'filesize': '92562784', 'filename': '2018.41_full.tif'}}","[{'id': 38874, 'description': 'Louis Rolland Trinquesse (French, c. 1746–c. 1800)', 'extent': None, 'qualifier': 'attributed to', 'role': 'artist', 'biography': None, 'name_in_original_language': None, 'birth_year': '1746', 'death_year': '1800'}]"
Two Dolls or Puppets Sitting on Cushions,c. 1870–80,https://clevelandart.org/art/2018.1061,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2018.1061/2018.1061_web.jpg', 'width': '900', 'height': '673', 'filesize': '337074', 'filename': '2018.1061_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2018.1061/2018.1061_print.jpg', 'width': '3400', 'height': '2542', 'filesize': '3482354', 'filename': '2018.1061_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2018.1061/2018.1061_full.tif', 'width': '5612', 'height': '4196', 'filesize': '70677048', 'filename': '2018.1061_full.tif'}}","[{'id': 1676, 'description': 'Henri Joseph Harpignies (French, 1819–1916)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': 'Born into a bourgeois family of Belgian descent who established a sugar beet factory, Henri Joseph Harpignies became seriously interested in painting during an extended trip through France in 1838. However, he first worked as a sales agent until 1848, when he entered the studio of landscape painter Jean-Alexis Achard (1807-1884). Harpignies traveled to Crémieu and Brussels with Achard but decided to return home upon the outbreak of the revolution of 1848. After the revolution, he traveled through southern Germany and to Italy, where the natural surroundings made a strong impact on his work and where he first became interested in watercolor. He was accepted into the Salon of 1853 and exhibited there regularly until 1912. Harpignies was influenced by Corot (q.v.) and the other Barbizon painters and worked in their manner. He traveled throughout France, visiting the forest of Fontainebleau, the Pyrenees, Nevers, and other areas, making landscape studies. He returned to Italy from 1863 through 1865, after his marriage to Marguerite Ventillard. During the Franco-Prussian War (1870-71) he fought with the National Guard at Hérisson, where he would return each summer throughout the 1870s. Harpignies took on his own private pupils, whom he taught his watercolor technique, and his contract with the dealers Arnold & Tripp in 1883 secured his financial independence. During the final decades of his life, he traveled often to La Trémellerie at Saint-Privé and painted along the coast of Nice and Menton.', 'name_in_original_language': None, 'birth_year': '1819', 'death_year': '1916'}]"
The Temptation of St. Anthony,19th century,https://clevelandart.org/art/2018.42,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2018.42/2018.42_web.jpg', 'width': '900', 'height': '796', 'filesize': '248389', 'filename': '2018.42_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2018.42/2018.42_print.jpg', 'width': '3400', 'height': '3006', 'filesize': '3276502', 'filename': '2018.42_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2018.42/2018.42_full.tif', 'width': '5984', 'height': '5291', 'filesize': '95014576', 'filename': '2018.42_full.tif'}}","[{'id': 28770, 'description': 'Julien Léopold Boilly (French, 1796–1874)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': None, 'name_in_original_language': None, 'birth_year': '1796', 'death_year': '1874'}]"
The Pipes of Pan,1865,https://clevelandart.org/art/2015.446,"{'annotation': None, 'web': {'url': 'https://openaccess-cdn.clevelandart.org/2015.446/2015.446_web.jpg', 'width': '669', 'height': '900', 'filesize': '375233', 'filename': '2015.446_web.jpg'}, 'print': {'url': 'https://openaccess-cdn.clevelandart.org/2015.446/2015.446_print.jpg', 'width': '2526', 'height': '3400', 'filesize': '4896458', 'filename': '2015.446_print.jpg'}, 'full': {'url': 'https://openaccess-cdn.clevelandart.org/2015.446/2015.446_full.tif', 'width': '8699', 'height': '11707', 'filesize': '305548896', 'filename': '2015.446_full.tif'}}","[{'id': 26462, 'description': 'Mariano Fortuny (Spanish, 1838–1874)', 'extent': None, 'qualifier': None, 'role': 'artist', 'biography': None, 'name_in_original_language': None, 'birth_year': '1838', 'death_year': '1874'}]"
